app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather.icon,weather.description,weather.code,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd
19.7,40,100,4,0,2024-04-09:01,13.8,0.0,0.0,0.0,288.8,n,0,0.0,1018.0,68,1020.7,0,0,0.0,19.9,2024-04-08T21:00:00,2024-04-09T01:00:00,1712624400,0.0,27.296,c02n,Scattered clouds,802,E,east,100,5.6,4.0
19.4,51,100,0,0,2024-04-09:02,14.3,0.0,0.0,0.0,289.0,n,0,0.0,1018.0,72,1020.7,0,0,0.0,19.5,2024-04-08T22:00:00,2024-04-09T02:00:00,1712628000,0.0,24.992,c03n,Broken clouds,803,E,east,100,4.4,3.2
18.6,54,100,11,0,2024-04-09:03,14.2,0.0,0.0,0.0,289.0,n,0,0.0,1019.0,75,1021.8,0,0,0.0,18.7,2024-04-08T23:00:00,2024-04-09T03:00:00,1712631600,0.0,22.688,c03n,Broken clouds,803,E,east,100,4.0,2.8
18.3,61,99,96,0,2024-04-09:04,14.2,0.0,0.0,0.0,289.8,n,0,0.0,1019.0,77,1021.8,0,0,0.0,18.3,2024-04-09T00:00:00,2024-04-09T04:00:00,1712635200,0.0,21.792,c03n,Broken clouds,803,E,east,100,3.6,2.4
18.0,60,100,39,0,2024-04-09:05,14.3,0.0,0.0,0.0,290.0,n,0,0.0,1018.5,79,1021.3,0,0,0.0,18.0,2024-04-09T01:00:00,2024-04-09T05:00:00,1712638800,0.0,22.8,c03n,Broken clouds,803,ESE,east-southeast,110,3.6,2.4
17.6,64,100,15,0,2024-04-09:06,14.3,0.0,0.0,0.0,288.8,n,0,0.0,1018.0,81,1020.8,0,0,0.0,17.6,2024-04-09T02:00:00,2024-04-09T06:00:00,1712642400,0.0,22.192,c03n,Broken clouds,803,ESE,east-southeast,110,3.2,2.0
17.6,54,100,36,13,2024-04-09:07,14.5,0.0,0.0,0.0,288.0,n,0,0.0,1018.0,82,1020.8,0,0,0.0,17.6,2024-04-09T03:00:00,2024-04-09T07:00:00,1712646000,0.0,21.888,c03n,Broken clouds,803,E,east,100,3.2,2.0
17.4,49,100,100,82,2024-04-09:08,14.7,0.0,0.0,0.0,287.8,n,0,0.0,1018.0,84,1020.8,0,0,0.0,17.4,2024-04-09T04:00:00,2024-04-09T08:00:00,1712649600,0.0,21.296,c03n,Broken clouds,803,ESE,east-southeast,110,3.2,2.4
17.3,59,100,45,43,2024-04-09:09,14.8,0.0,0.0,0.0,287.0,n,0,0.0,1018.0,85,1020.8,0,0,0.0,17.3,2024-04-09T05:00:00,2024-04-09T09:00:00,1712653200,0.0,20.8,c03n,Broken clouds,803,ESE,east-southeast,110,3.2,2.4
17.5,49,100,62,7,2024-04-09:10,15.0,0.0,0.0,0.0,286.8,n,0,0.0,1018.5,85,1021.3,0,0,0.0,17.5,2024-04-09T06:00:00,2024-04-09T10:00:00,1712656800,0.0,19.792,c03n,Broken clouds,803,ESE,east-southeast,110,3.6,2.4
17.6,55,100,100,3,2024-04-09:11,15.0,0.0,0.0,0.0,285.8,n,0,0.0,1018.0,85,1020.8,0,0,0.0,17.6,2024-04-09T07:00:00,2024-04-09T11:00:00,1712660400,0.0,19.6,c03n,Broken clouds,803,ESE,east-southeast,110,3.6,2.4
18.5,55,100,99,0,2024-04-09:12,15.5,55.71,500.33,142.97,286.0,d,0,0.0,1018.5,83,1021.2,0,0,67.48944,18.4,2024-04-09T08:00:00,2024-04-09T12:00:00,1712664000,1.0,21.088,c03d,Broken clouds,803,ESE,east-southeast,120,4.4,2.8
20.7,35,100,88,0,2024-04-09:13,15.8,84.68,721.94,373.98,286.3,d,0,0.0,1019.0,74,1021.7,0,0,139.94106,20.6,2024-04-09T09:00:00,2024-04-09T13:00:00,1712667600,1.8,25.696,c02d,Scattered clouds,802,SE,southeast,130,6.4,4.4
22.3,39,100,83,0,2024-04-09:14,15.6,102.83,830.99,599.21,285.8,d,0,0.0,1019.0,66,1021.7,0,0,287.62814,22.3,2024-04-09T10:00:00,2024-04-09T14:00:00,1712671200,3.0,27.2,c02d,Scattered clouds,802,SE,southeast,130,8.0,5.2
24.3,57,100,64,100,2024-04-09:15,16.0,114.76,892.96,789.54,284.5,d,0,0.0,1018.5,60,1021.2,0,0,158.03372,24.2,2024-04-09T11:00:00,2024-04-09T15:00:00,1712674800,3.9,31.088,c03d,Broken clouds,803,SE,southeast,130,9.2,6.0
25.2,57,100,68,1,2024-04-09:16,15.5,122.1,927.77,925.61,284.0,d,0,0.0,1018.5,55,1021.2,0,0,662.4685,25.2,2024-04-09T12:00:00,2024-04-09T16:00:00,1712678400,5.3,30.8,c03d,Broken clouds,803,SE,southeast,130,9.6,6.4
26.4,46,43,25,0,2024-04-09:17,15.4,125.54,943.3,994.77,283.5,d,0,0.0,1017.5,51,1020.2,0,0,945.50037,26.4,2024-04-09T13:00:00,2024-04-09T17:00:00,1712682000,6.8,35.488,c03d,Broken clouds,803,SE,southeast,130,9.0,6.0
