app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather.icon,weather.description,weather.code,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd
18.8,6,0,0,0,2024-04-09:01,8.5,0.0,0.0,0.0,389.8,n,0,0.0,988.0,49,1011.8,0,0,0.0,19.5,2024-04-08T20:00:00,2024-04-09T01:00:00,1712624400,0.0,40.48,c02n,Few clouds,801,S,south,190,4.8,3.2
16.3,17,0,0,0,2024-04-09:02,6.1,0.0,0.0,0.0,395.5,n,0,0.0,989.5,51,1013.4,0,0,0.0,16.3,2024-04-08T21:00:00,2024-04-09T02:00:00,1712628000,0.0,37.088,c02n,Few clouds,801,S,south,190,6.0,4.0
15.5,53,5,0,0,2024-04-09:03,5.4,0.0,0.0,0.0,400.3,n,0,0.0,989.0,51,1012.9,0,0,0.0,15.5,2024-04-08T22:00:00,2024-04-09T03:00:00,1712631600,0.0,0.465,c03n,Broken clouds,803,S,south,190,6.0,4.0
14.7,20,0,0,0,2024-04-09:04,5.2,0.0,0.0,0.0,399.3,n,0,0.0,989.0,53,1013.0,0,0,0.0,14.7,2024-04-08T23:00:00,2024-04-09T04:00:00,1712635200,0.0,43.072,c02n,Few clouds,801,S,south,190,6.0,4.0
14.0,53,2,100,100,2024-04-09:05,5.3,0.0,0.0,0.0,403.8,n,0,0.0,988.5,56,1012.5,0,0,0.0,14.0,2024-04-09T00:00:00,2024-04-09T05:00:00,1712638800,0.0,37.888,c03n,Broken clouds,803,S,south,190,5.2,3.6
13.6,71,0,100,100,2024-04-09:06,5.5,0.0,0.0,0.0,406.8,n,0,0.0,988.0,58,1011.9,0,0,0.0,13.6,2024-04-09T01:00:00,2024-04-09T06:00:00,1712642400,0.0,37.6,c04n,Overcast clouds,804,S,south,190,4.4,3.2
13.2,53,0,100,1,2024-04-09:07,5.8,0.0,0.0,0.0,405.8,n,0,0.0,988.5,61,1012.4,0,0,0.0,13.2,2024-04-09T02:00:00,2024-04-09T07:00:00,1712646000,0.0,34.976,c03n,Broken clouds,803,SSW,south-southwest,210,3.6,2.4
12.6,54,0,72,4,2024-04-09:08,6.0,0.0,0.0,0.0,400.0,n,0,0.0,987.5,64,1011.5,0,0,0.0,12.6,2024-04-09T03:00:00,2024-04-09T08:00:00,1712649600,0.0,30.096,c03n,Broken clouds,803,SSW,south-southwest,200,3.6,2.4
12.1,44,0,84,6,2024-04-09:09,6.2,0.0,0.0,0.0,387.5,n,0,0.0,987.0,67,1011.0,0,0,0.0,12.1,2024-04-09T04:00:00,2024-04-09T09:00:00,1712653200,0.0,28.096,c03n,Broken clouds,803,SW,southwest,220,3.2,2.4
11.1,26,0,0,0,2024-04-09:10,5.8,0.0,0.0,0.0,385.8,n,0,0.0,987.0,70,1011.2,0,0,0.0,11.1,2024-04-09T05:00:00,2024-04-09T10:00:00,1712656800,0.0,22.992,c02n,Scattered clouds,802,SW,southwest,230,3.6,2.4
