app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather.icon,weather.description,weather.code,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd
16.7,58,0,2,0,2024-04-09:01,5.0,0.0,0.0,0.0,390.3,n,0,0.0,1003.0,46,1018.4,0,0,0.0,16.7,2024-04-08T21:00:00,2024-04-09T01:00:00,1712624400,0.0,42.176,c03n,Broken clouds,803,SSE,south-southeast,160,3.6,2.4
11.5,30,0,0,0,2024-04-09:02,1.4,0.0,0.0,0.0,381.0,n,0,0.0,1003.0,50,1018.5,0,0,0.0,11.5,2024-04-08T22:00:00,2024-04-09T02:00:00,1712628000,0.0,37.184,c02n,Scattered clouds,802,S,south,180,3.2,2.4
10.7,22,0,0,0,2024-04-09:03,2.3,0.0,0.0,0.0,376.5,n,0,0.0,1003.0,56,1018.6,0,0,0.0,10.7,2024-04-08T23:00:00,2024-04-09T03:00:00,1712631600,0.0,35.072,c02n,Scattered clouds,802,S,south,180,3.2,2.4
9.9,18,0,0,0,2024-04-09:04,2.0,0.0,0.0,0.0,374.3,n,0,0.0,1002.5,58,1018.1,0,0,0.0,9.9,2024-04-09T00:00:00,2024-04-09T04:00:00,1712635200,0.0,34.08,c02n,Few clouds,801,S,south,170,3.2,2.4
9.2,13,0,0,0,2024-04-09:05,2.5,0.0,0.0,0.0,377.0,n,0,0.0,1002.0,63,1017.6,0,0,0.0,9.2,2024-04-09T01:00:00,2024-04-09T05:00:00,1712638800,0.0,30.992,c02n,Few clouds,801,SSE,south-southeast,160,3.2,2.0
8.8,9,0,0,0,2024-04-09:06,2.9,0.0,0.0,0.0,381.0,n,0,0.0,1002.5,66,1018.2,0,0,0.0,8.8,2024-04-09T02:00:00,2024-04-09T06:00:00,1712642400,0.0,24.096,c02n,Few clouds,801,SSE,south-southeast,150,3.2,2.0
8.0,3,0,0,0,2024-04-09:07,2.7,0.0,0.0,0.0,388.3,n,0,0.0,1002.5,69,1018.2,0,0,0.0,8.0,2024-04-09T03:00:00,2024-04-09T07:00:00,1712646000,0.0,20.896,c02n,Few clouds,801,ESE,east-southeast,110,3.2,2.0
7.4,2,0,0,0,2024-04-09:08,2.5,0.0,0.0,0.0,389.3,n,0,0.0,1002.0,71,1017.8,0,0,0.0,7.4,2024-04-09T04:00:00,2024-04-09T08:00:00,1712649600,0.0,19.488,c02n,Few clouds,801,ESE,east-southeast,120,2.8,2.0
5.6,6,0,2,0,2024-04-09:09,2.6,0.0,0.0,0.0,392.0,n,0,0.0,1001.5,74,1017.3,0,0,0.0,6.9,2024-04-09T05:00:00,2024-04-09T09:00:00,1712653200,0.0,17.792,c02n,Few clouds,801,ESE,east-southeast,110,2.8,2.0
5.8,4,7,3,0,2024-04-09:10,2.6,0.0,0.0,0.0,391.5,n,0,0.0,1002.5,73,1018.3,0,0,0.0,7.1,2024-04-09T06:00:00,2024-04-09T10:00:00,1712656800,0.0,16.896,c02n,Few clouds,801,ESE,east-southeast,120,2.8,2.0
