,Carrier Code,Origin Airport,Scheduled Elapsed Time (Minutes),Arrival Delay (Minutes),scheduled_arrival_time,pres_x,rh_x,vis_x,scheduled_departure_time,dewpt_y,rh_y,vis_y,weather.code_y,arrival_status,scheduled_departure_hour,app_temp_diff,dewpt_diff,temp_diff,weather.code_diff,carrier_9E,carrier_B6,airport_JFK,airport_MCO,dep_time_day_prop,time_of_day_Late Morning
0,B6,JFK,75,-14,2020-01-01 08:22:00,989,65,16,2020-01-01 07:07:00,-2.3,69,16,804,early,7,-3.9,-3.9000000000000004,-3.1999999999999997,0,0,1,1,0,0.2965277777777778,1
1,OO,ORD,113,-3,2020-01-01 10:43:00,990,65,16,2020-01-01 08:50:00,-7.9,87,16,802,ontime,8,7.199999999999999,2.7,6.699999999999999,2,0,0,0,0,0.3680555555555556,1
2,9E,JFK,92,-34,2020-01-01 11:37:00,990,63,16,2020-01-01 10:05:00,-5.8,49,16,804,early,10,-3.8999999999999995,0.39999999999999947,-3.0999999999999996,0,1,0,1,0,0.4201388888888889,1
3,F9,MCO,164,-16,2020-01-01 14:39:00,991,60,16,2020-01-01 11:55:00,2.6,35,16,802,early,11,-22.700000000000003,-8.2,-17.0,2,0,0,0,1,0.4965277777777778,0
4,OO,ORD,113,-5,2020-01-01 14:43:00,991,60,16,2020-01-01 12:50:00,-5.7,58,16,802,ontime,12,-1.6000000000000005,0.10000000000000053,-0.3999999999999999,2,0,0,0,0,0.5347222222222222,0
5,OO,ORD,112,-21,2020-01-01 17:52:00,993,65,16,2020-01-01 16:00:00,-2.6,58,16,803,early,16,-6.0,-2.9999999999999996,-4.9,1,0,0,0,0,0.6666666666666666,0
6,YX,JFK,93,-27,2020-01-01 18:02:00,993,65,16,2020-01-01 16:29:00,-5.9,50,16,804,early,16,-3.7,0.10000000000000053,-3.5,0,0,0,1,0,0.6868055555555556,0
7,B6,JFK,80,-19,2020-01-01 20:50:00,994,67,16,2020-01-01 19:30:00,-5.8,53,16,803,early,19,-1.4,0.7999999999999998,-2.4,1,0,1,1,0,0.8125,0
8,AA,ORD,109,-4,2020-01-01 21:43:00,994,64,16,2020-01-01 19:54:00,-0.8,68,16,804,ontime,19,-4.1000000000000005,-5.0,-4.4,0,0,0,0,0,0.8291666666666667,0
9,B6,MCO,159,0,2020-01-01 21:55:00,994,63,16,2020-01-01 19:16:00,5.5,47,16,802,ontime,19,-21.2,-11.7,-16.9,2,0,1,0,1,0.8027777777777778,0
10,B6,JFK,75,-16,2020-01-02 08:22:00,993,60,16,2020-01-02 07:07:00,-3.4,78,16,802,early,7,4.3,-0.6999999999999997,2.9,2,0,1,1,0,0.2965277777777778,1
11,OO,ORD,108,-9,2020-01-02 09:18:00,994,58,16,2020-01-02 07:30:00,-2.4,68,16,802,early,7,1.9,-1.5,0.6000000000000001,2,0,0,0,0,0.3125,1
12,OO,ORD,113,-16,2020-01-02 10:43:00,993,49,16,2020-01-02 08:50:00,-1.7,72,16,802,early,8,5.5,-1.7,3.7,2,0,0,0,0,0.3680555555555556,1
13,9E,JFK,92,119,2020-01-02 11:37:00,993,43,16,2020-01-02 10:05:00,-1.2,67,16,802,late,10,6.3999999999999995,-2.5999999999999996,3.6999999999999993,1,1,0,1,0,0.4201388888888889,1
14,OO,ORD,113,-23,2020-01-02 14:43:00,991,33,16,2020-01-02 12:50:00,1.0,62,16,804,early,12,2.3999999999999995,-6.4,2.3999999999999995,0,0,0,0,0,0.5347222222222222,0
15,OO,ORD,112,2,2020-01-02 17:52:00,990,39,16,2020-01-02 16:00:00,2.8,68,16,804,ontime,16,0.0,-7.6,0.0,0,0,0,0,0,0.6666666666666666,0
16,YX,JFK,93,-20,2020-01-02 18:02:00,990,38,16,2020-01-02 16:29:00,4.5,85,16,804,early,16,5.000000000000001,-9.7,1.4000000000000004,0,0,0,1,0,0.6868055555555556,0
17,B6,JFK,80,7,2020-01-02 20:50:00,991,42,16,2020-01-02 19:30:00,3.5,82,16,804,late,19,5.0,-7.2,2.1000000000000005,0,0,1,1,0,0.8125,0
18,AA,ORD,109,-19,2020-01-02 21:43:00,991,47,16,2020-01-02 19:54:00,3.2,79,16,804,early,19,0.9000000000000004,-6.6,0.5999999999999996,0,0,0,0,0,0.8291666666666667,0
19,B6,MCO,159,-19,2020-01-02 21:55:00,991,48,16,2020-01-02 19:16:00,15.5,67,16,804,early,19,-17.099999999999998,-19.0,-15.2,0,0,1,0,1,0.8027777777777778,0
20,B6,JFK,75,-2,2020-01-03 08:22:00,992,65,16,2020-01-03 07:07:00,5.5,96,16,500,ontime,7,3.8000000000000007,-3.7,1.8000000000000007,304,0,1,1,0,0.2965277777777778,1
21,OO,ORD,108,-9,2020-01-03 09:18:00,992,64,16,2020-01-03 07:30:00,-0.5,79,16,804,early,7,8.6,2.5,5.6000000000000005,0,0,0,0,0,0.3125,1
22,OO,ORD,113,-26,2020-01-03 10:43:00,992,67,16,2020-01-03 08:50:00,-0.7,81,16,804,early,8,11.200000000000001,4.2,7.1000000000000005,0,0,0,0,0,0.3680555555555556,1
23,9E,JFK,92,223,2020-01-03 11:37:00,992,67,16,2020-01-03 10:05:00,6.7,100,4,741,late,10,5.6000000000000005,-2.7,3.1000000000000005,63,1,0,1,0,0.4201388888888889,1
24,OO,ORD,113,47,2020-01-03 14:43:00,992,71,16,2020-01-03 12:50:00,-1.7,72,16,804,late,12,7.7,6.7,7.2,0,0,0,0,0,0.5347222222222222,0
25,F9,MCO,169,-29,2020-01-03 16:06:00,992,74,16,2020-01-03 13:17:00,21.1,67,16,803,early,13,-20.4,-16.1,-18.4,1,0,0,0,1,0.5534722222222223,0
26,OO,ORD,112,102,2020-01-03 17:52:00,992,89,12,2020-01-03 16:00:00,-1.9,78,16,804,late,16,10.0,8.0,6.199999999999999,0,0,0,0,0,0.6666666666666666,0
27,YX,JFK,93,11,2020-01-03 18:02:00,993,89,14,2020-01-03 16:29:00,7.1,95,14,804,late,16,0.0,-1.0,0.0,0,0,0,1,0,0.6868055555555556,0
28,B6,JFK,80,-20,2020-01-03 20:50:00,995,78,15,2020-01-03 19:30:00,7.5,96,15,500,early,19,-3.3,-4.4,-1.3999999999999995,304,0,1,1,0,0.8125,0
29,AA,ORD,109,-3,2020-01-03 21:43:00,994,79,14,2020-01-03 19:54:00,-3.0,74,16,804,ontime,19,7.1,5.9,5.199999999999999,0,0,0,0,0,0.8291666666666667,0
30,B6,MCO,159,16,2020-01-03 21:55:00,994,79,14,2020-01-03 19:16:00,19.9,81,16,802,late,19,-18.6,-17.2,-17.200000000000003,2,0,1,0,1,0.8027777777777778,0
31,B6,JFK,75,-23,2020-01-04 08:15:00,989,92,6,2020-01-04 07:00:00,7.8,100,5,741,early,7,-6.6,-5.1,-3.9,-241,0,1,1,0,0.2916666666666667,1
32,MQ,ORD,112,1,2020-01-04 10:47:00,990,92,9,2020-01-04 08:55:00,-3.2,85,14,804,ontime,8,5.1,4.4,3.4,-304,0,0,0,0,0.3715277777777778,1
33,9E,JFK,92,13,2020-01-04 11:32:00,990,92,11,2020-01-04 10:00:00,7.8,100,0,500,late,10,-8.7,-6.8,-5.6,0,1,0,1,0,0.4166666666666667,1
34,OO,ORD,113,0,2020-01-04 14:43:00,988,86,16,2020-01-04 12:50:00,-4.4,72,16,804,ontime,12,4.5,5.1000000000000005,2.8,0,0,0,0,0,0.5347222222222222,0
35,F9,MCO,169,42,2020-01-04 17:04:00,990,88,16,2020-01-04 14:15:00,19.9,87,16,500,late,14,-25.0,-20.0,-20.5,304,0,0,0,1,0.59375,0
36,OO,ORD,112,53,2020-01-04 17:52:00,990,88,16,2020-01-04 16:00:00,-4.8,73,16,804,late,16,3.5,4.7,2.3,0,0,0,0,0,0.6666666666666666,0
37,YX,JFK,93,5,2020-01-04 18:02:00,990,88,16,2020-01-04 16:29:00,9.1,100,14,741,ontime,16,-11.7,-9.2,-7.3999999999999995,63,0,0,1,0,0.6868055555555556,0
38,B6,JFK,80,8,2020-01-04 20:50:00,991,88,16,2020-01-04 19:30:00,8.6,91,16,804,late,19,-13.6,-9.299999999999999,-8.9,-204,0,1,1,0,0.8125,0
39,AA,ORD,109,32,2020-01-04 21:43:00,991,86,16,2020-01-04 19:54:00,-7.0,65,16,804,late,19,2.9999999999999996,5.9,2.3,-204,0,0,0,0,0.8291666666666667,0
40,B6,MCO,159,55,2020-01-04 21:55:00,991,88,14,2020-01-04 19:16:00,13.2,72,16,802,late,19,-21.900000000000002,-14.399999999999999,-17.7,-202,0,1,0,1,0.8027777777777778,0
41,B6,JFK,75,30,2020-01-05 08:22:00,997,68,14,2020-01-05 07:07:00,-5.1,54,16,804,late,7,-3.4999999999999996,-0.7000000000000002,-3.9,0,0,1,1,0,0.2965277777777778,1
42,OO,ORD,113,0,2020-01-05 10:43:00,999,71,14,2020-01-05 08:50:00,-4.5,88,13,804,ontime,8,2.3999999999999995,-1.2000000000000002,1.6999999999999997,0,0,0,0,0,0.3680555555555556,1
43,9E,JFK,92,-9,2020-01-05 11:37:00,999,71,14,2020-01-05 10:05:00,-5.0,52,16,804,early,10,-4.7,-0.7000000000000002,-5.0,0,1,0,1,0,0.4201388888888889,1
44,OO,ORD,113,-14,2020-01-05 14:43:00,998,62,16,2020-01-05 12:50:00,-3.5,61,16,804,early,12,-3.2,-2.9000000000000004,-3.3,0,0,0,0,0,0.5347222222222222,0
45,OO,ORD,112,-21,2020-01-05 17:52:00,999,65,16,2020-01-05 16:00:00,-0.8,69,16,804,early,16,-3.6,-5.5,-5.0,0,0,0,0,0,0.6666666666666666,0
46,YX,JFK,93,-26,2020-01-05 18:02:00,999,66,16,2020-01-05 16:29:00,-6.4,44,16,804,early,16,-2.8,0.3000000000000007,-5.3999999999999995,0,0,0,1,0,0.6868055555555556,0
47,B6,JFK,80,-15,2020-01-05 20:50:00,998,74,16,2020-01-05 19:30:00,-7.5,48,16,803,early,19,-1.3999999999999995,2.9000000000000004,-3.0,-180,0,1,1,0,0.8125,0
48,AA,ORD,109,-10,2020-01-05 21:43:00,997,80,14,2020-01-05 19:54:00,-2.5,69,16,802,early,19,-1.1,-1.5,-3.6,2,0,0,0,0,0.8291666666666667,0
49,UA,ORD,107,8,2020-01-05 21:47:00,997,80,14,2020-01-05 20:00:00,-2.5,69,16,802,late,20,-1.1,-1.5,-3.6,2,0,0,0,0,0.8333333333333334,0
50,B6,MCO,159,-4,2020-01-05 21:55:00,997,78,14,2020-01-05 19:16:00,2.6,49,16,800,ontime,19,-16.3,-6.5,-13.6,4,0,1,0,1,0.8027777777777778,0
51,B6,JFK,75,7,2020-01-06 08:22:00,994,78,14,2020-01-06 07:07:00,-1.1,85,16,804,late,7,0.3999999999999999,-0.09999999999999987,1.1,0,0,1,1,0,0.2965277777777778,1
52,OO,ORD,113,-21,2020-01-06 10:43:00,995,71,16,2020-01-06 08:50:00,-7.9,68,16,803,early,8,3.9,6.2,5.8,1,0,0,0,0,0.3680555555555556,1
53,9E,JFK,80,-18,2020-01-06 12:22:00,995,63,16,2020-01-06 11:02:00,-0.7,72,16,804,early,11,-1.0999999999999999,-2.4000000000000004,-0.6000000000000001,0,1,0,1,0,0.4597222222222222,0
54,OO,ORD,113,-5,2020-01-06 14:43:00,996,52,14,2020-01-06 12:50:00,-5.6,52,16,803,ontime,12,-1.7999999999999998,-0.3000000000000007,-0.3999999999999999,1,0,0,0,0,0.5347222222222222,0
55,F9,MCO,169,-21,2020-01-06 15:37:00,996,51,15,2020-01-06 12:48:00,0.3,30,16,800,early,12,-20.4,-6.3999999999999995,-15.2,4,0,0,0,1,0.5333333333333333,0
56,OO,ORD,112,-23,2020-01-06 17:52:00,996,53,16,2020-01-06 16:00:00,-6.4,44,16,804,early,16,-3.2,0.6000000000000005,-2.0,-1,0,0,0,0,0.6666666666666666,0
