Carrier Code,Date (MM/DD/YYYY),Flight Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Taxi-In time (Minutes),Delay Carrier (Minutes)_x,Delay Weather (Minutes)_x,Delay National Aviation System (Minutes)_x,Delay Security (Minutes)_x,Delay Late Aircraft Arrival (Minutes)_x,scheduled_arrival_time,actual_arrival_time,date_x,date_time_x,app_temp_x,dewpt_x,precip_rate_x,rh_x,temp_x,uv_x,vis_x,weather.code_x,wind_gust_spd_x,wind_spd_x,timestamp_local_x,snow_rate_x,key_x,date_time_map_x,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Taxi-Out time (Minutes),Delay Carrier (Minutes)_y,Delay Weather (Minutes)_y,Delay National Aviation System (Minutes)_y,Delay Security (Minutes)_y,Delay Late Aircraft Arrival (Minutes)_y,scheduled_departure_time,actual_departure_time,date_y,date_time_y,app_temp_y,dewpt_y,precip_rate_y,rh_y,temp_y,uv_y,vis_y,weather.code_y,wind_gust_spd_y,wind_spd_y,timestamp_local_y,snow_rate_y,key_y,date_time_map_y
OO,01/11/2020,2978,ORD,14:47,00:00,112,0,0,0,0,0,0,0,0,2020-01-11 14:47:00,2020-01-11 00:00:00,2020-01-11,2020-01-11 14:47:00,17.8,10.4,1.25,62,17.8,0.5,16,500,12.9,8.4,2020-01-11 14:45:00,0.0,SYR,2020-01-11 14:45:00,SYR,11:55,00:00,112,0,0,0,0,0,0,0,0,2020-01-11 12:55:00,2020-01-11 01:00:00,2020-01-11,2020-01-11 11:55:00,-7.7,-1.1,0.0,92,0.0,0.7,3,804,18.0,12.4,2020-01-11 12:00:00,0.0,ORD,2020-01-11 12:00:00
OO,01/17/2020,3223,ORD,17:58,00:00,111,0,0,0,0,0,0,0,0,2020-01-17 17:58:00,2020-01-17 00:00:00,2020-01-17,2020-01-17 17:58:00,-17.7,-16.7,0.0,66,-11.7,0.0,16,804,4.0,3.1,2020-01-17 18:00:00,0.0,SYR,2020-01-17 18:00:00,SYR,15:07,00:00,111,0,0,0,0,0,0,0,0,2020-01-17 16:07:00,2020-01-17 01:00:00,2020-01-17,2020-01-17 15:07:00,-7.8,-10.1,0.5,57,-2.8,0.5,13,600,8.4,4.09,2020-01-17 15:00:00,10.0,ORD,2020-01-17 15:00:00
UA,01/17/2020,1643,ORD,21:19,00:00,109,0,0,0,0,0,0,0,0,2020-01-17 21:19:00,2020-01-17 00:00:00,2020-01-17,2020-01-17 21:19:00,-17.8,-16.6,0.0,80,-13.9,0.0,16,803,3.5,1.6,2020-01-17 21:15:00,0.0,SYR,2020-01-17 21:15:00,SYR,18:30,00:00,109,0,0,0,0,0,0,0,0,2020-01-17 19:30:00,2020-01-17 01:00:00,2020-01-17,2020-01-17 18:30:00,-10.2,-4.6,1.0,92,-3.5,0.0,1,600,10.8,6.53,2020-01-17 18:30:00,20.0,ORD,2020-01-17 18:30:00
AA,01/17/2020,1483,ORD,21:43,00:00,109,0,0,0,0,0,0,0,0,2020-01-17 21:43:00,2020-01-17 00:00:00,2020-01-17,2020-01-17 21:43:00,-17.8,-16.3,0.0,82,-13.9,0.0,16,802,3.3,1.6,2020-01-17 21:45:00,0.0,SYR,2020-01-17 21:45:00,SYR,18:54,00:00,109,0,0,0,0,0,0,0,0,2020-01-17 19:54:00,2020-01-17 01:00:00,2020-01-17,2020-01-17 18:54:00,-10.1,-4.4,3.0,92,-3.3,0.0,1,601,10.8,6.95,2020-01-17 19:00:00,60.0,ORD,2020-01-17 19:00:00
OO,02/12/2020,3223,ORD,17:58,00:00,111,0,0,0,0,0,0,0,0,2020-02-12 17:58:00,2020-02-12 00:00:00,2020-02-12,2020-02-12 17:58:00,0.2,-6.8,0.0,49,2.8,0.0,16,804,5.2,2.6,2020-02-12 18:00:00,0.0,SYR,2020-02-12 18:00:00,SYR,15:07,00:00,111,0,0,0,0,0,0,0,0,2020-02-12 16:07:00,2020-02-12 01:00:00,2020-02-12,2020-02-12 15:07:00,-1.9,-3.5,1.5,66,2.2,0.6,3,601,8.8,4.59,2020-02-12 15:00:00,1.5,ORD,2020-02-12 15:00:00
OO,02/13/2020,3276,ORD,10:44,00:00,106,0,0,0,0,0,0,0,0,2020-02-13 10:44:00,2020-02-13 00:00:00,2020-02-13,2020-02-13 10:44:00,-3.5,-2.1,0.5,82,0.6,0.8,12,623,6.3,3.93,2020-02-13 10:45:00,3.5,SYR,2020-02-13 10:45:00,SYR,07:58,00:00,106,0,0,0,0,0,0,0,0,2020-02-13 08:58:00,2020-02-13 01:00:00,2020-02-13,2020-02-13 07:58:00,-16.7,-11.8,0.0,76,-8.3,0.4,2,721,11.3,7.2,2020-02-13 08:00:00,0.0,ORD,2020-02-13 08:00:00
OO,02/13/2020,3277,ORD,14:45,00:00,109,0,0,0,0,0,0,0,0,2020-02-13 14:45:00,2020-02-13 00:00:00,2020-02-13,2020-02-13 14:45:00,-2.9,-2.0,0.375,80,1.1,0.7,10,610,7.7,3.97,2020-02-13 14:45:00,0.75,SYR,2020-02-13 14:45:00,SYR,11:56,00:00,109,0,0,0,0,0,0,0,0,2020-02-13 12:56:00,2020-02-13 01:00:00,2020-02-13,2020-02-13 11:56:00,-17.5,-14.5,0.0,66,-9.4,1.1,9,804,11.6,6.2,2020-02-13 12:00:00,0.0,ORD,2020-02-13 12:00:00
B6,03/03/2020,756,MCO,15:09,18:57,164,0,0,5,0,0,0,0,0,2020-03-03 15:09:00,2020-03-03 18:57:00,2020-03-03,2020-03-03 15:09:00,8.9,6.7,1.25,86,8.9,0.9,15,500,8.2,2.02,2020-03-03 15:15:00,0.0,SYR,2020-03-03 15:15:00,SYR,12:25,12:19,164,0,-6,12,0,0,0,0,0,2020-03-03 12:25:00,2020-03-03 12:19:00,2020-03-03,2020-03-03 12:25:00,27.5,14.2,0.0,44,27.5,3.2,16,804,10.1,7.44,2020-03-03 12:30:00,0.0,MCO,2020-03-03 12:30:00
OO,03/20/2020,3180,ORD,10:55,00:00,111,0,0,0,0,0,0,0,0,2020-03-20 10:55:00,2020-03-20 00:00:00,2020-03-20,2020-03-20 10:55:00,17.8,12.7,2.0,72,17.8,1.8,16,500,11.4,7.2,2020-03-20 11:00:00,0.0,SYR,2020-03-20 11:00:00,SYR,08:04,00:00,111,0,0,0,0,0,0,0,0,2020-03-20 09:04:00,2020-03-20 01:00:00,2020-03-20,2020-03-20 08:04:00,-0.3,1.4,0.0,81,4.4,0.6,16,804,12.1,7.05,2020-03-20 08:00:00,0.0,ORD,2020-03-20 08:00:00
UA,03/21/2020,561,ORD,00:06,00:00,111,0,0,0,0,0,0,0,0,2020-03-21 00:06:00,2020-03-21 00:00:00,2020-03-21,2020-03-21 00:06:00,-4.6,-3.4,0.0,69,1.7,0.0,16,804,14.9,9.3,2020-03-21 00:00:00,0.0,SYR,2020-03-21 00:00:00,SYR,21:15,00:00,111,0,0,0,0,0,0,0,0,2020-03-21 22:15:00,2020-03-21 01:00:00,2020-03-21,2020-03-21 21:15:00,-5.5,-8.4,0.0,64,-2.5,0.0,16,800,3.9,2.1,2020-03-21 21:15:00,0.0,ORD,2020-03-21 21:15:00
